CustomerID,Recency,Frequency,Monetary,Cluster,Cluster_Name
12347.0,2,7,4310.0,0,مشتریان وفادار اقتصادی 🟡
12348.0,75,4,1797.24,0,مشتریان وفادار اقتصادی 🟡
12349.0,19,1,1757.55,0,مشتریان وفادار اقتصادی 🟡
12352.0,36,8,2506.04,0,مشتریان وفادار اقتصادی 🟡
12356.0,23,3,2811.43,0,مشتریان وفادار اقتصادی 🟡
12357.0,33,1,6207.67,0,مشتریان وفادار اقتصادی 🟡
12358.0,2,2,1168.06,0,مشتریان وفادار اقتصادی 🟡
12359.0,58,4,6372.58,0,مشتریان وفادار اقتصادی 🟡
12360.0,52,3,2662.06,0,مشتریان وفادار اقتصادی 🟡
12362.0,3,10,5226.23,0,مشتریان وفادار اقتصادی 🟡
12363.0,110,2,552.0,0,مشتریان وفادار اقتصادی 🟡
12364.0,8,4,1313.1,0,مشتریان وفادار اقتصادی 🟡
12367.0,4,1,168.9,0,مشتریان وفادار اقتصادی 🟡
12370.0,51,4,3545.69,0,مشتریان وفادار اقتصادی 🟡
12371.0,45,2,1887.96,0,مشتریان وفادار اقتصادی 🟡
12372.0,72,3,1298.04,0,مشتریان وفادار اقتصادی 🟡
12374.0,25,1,742.9300000000001,0,مشتریان وفادار اقتصادی 🟡
12375.0,11,2,457.5,0,مشتریان وفادار اقتصادی 🟡
12378.0,130,1,4008.62,0,مشتریان وفادار اقتصادی 🟡
12379.0,82,2,852.24,0,مشتریان وفادار اقتصادی 🟡
12380.0,22,4,2724.81,0,مشتریان وفادار اقتصادی 🟡
12381.0,5,5,1845.31,0,مشتریان وفادار اقتصادی 🟡
12384.0,29,2,585.27,0,مشتریان وفادار اقتصادی 🟡
12388.0,16,6,2780.66,0,مشتریان وفادار اقتصادی 🟡
12390.0,80,1,549.84,0,مشتریان وفادار اقتصادی 🟡
12391.0,22,1,460.89,0,مشتریان وفادار اقتصادی 🟡
12393.0,72,4,1582.6000000000001,0,مشتریان وفادار اقتصادی 🟡
12394.0,64,2,1272.48,0,مشتریان وفادار اقتصادی 🟡
12395.0,19,12,3018.63,0,مشتریان وفادار اقتصادی 🟡
12397.0,36,2,2409.9,0,مشتریان وفادار اقتصادی 🟡
12398.0,46,1,1635.6599999999999,0,مشتریان وفادار اقتصادی 🟡
12399.0,119,4,1108.65,0,مشتریان وفادار اقتصادی 🟡
12403.0,50,1,427.7,0,مشتریان وفادار اقتصادی 🟡
12406.0,22,2,3415.3,0,مشتریان وفادار اقتصادی 🟡
12407.0,50,5,1708.1200000000001,0,مشتریان وفادار اقتصادی 🟡
12408.0,33,5,2888.55,0,مشتریان وفادار اقتصادی 🟡
12409.0,79,3,11072.67,0,مشتریان وفادار اقتصادی 🟡
12412.0,75,3,1226.88,0,مشتریان وفادار اقتصادی 🟡
12413.0,67,3,758.1,0,مشتریان وفادار اقتصادی 🟡
12417.0,3,9,3649.1,0,مشتریان وفادار اقتصادی 🟡
12418.0,113,1,668.58,0,مشتریان وفادار اقتصادی 🟡
12420.0,64,1,600.39,0,مشتریان وفادار اقتصادی 🟡
12421.0,16,4,807.04,0,مشتریان وفادار اقتصادی 🟡
12422.0,96,3,803.5600000000001,0,مشتریان وفادار اقتصادی 🟡
12423.0,1,8,1859.31,0,مشتریان وفادار اقتصادی 🟡
12425.0,78,1,777.2,0,مشتریان وفادار اقتصادی 🟡
12427.0,22,3,825.8,0,مشتریان وفادار اقتصادی 🟡
12428.0,26,9,7956.46,0,مشتریان وفادار اقتصادی 🟡
12429.0,9,4,3750.4,0,مشتریان وفادار اقتصادی 🟡
12430.0,43,1,256.4,0,مشتریان وفادار اقتصادی 🟡
12432.0,43,5,5059.32,0,مشتریان وفادار اقتصادی 🟡
12433.0,1,7,13375.87,0,مشتریان وفادار اقتصادی 🟡
12434.0,85,2,806.14,0,مشتریان وفادار اقتصادی 🟡
12435.0,80,2,7829.89,0,مشتریان وفادار اقتصادی 🟡
12436.0,100,1,509.01,0,مشتریان وفادار اقتصادی 🟡
12438.0,14,2,2906.85,0,مشتریان وفادار اقتصادی 🟡
12442.0,3,1,172.06,0,مشتریان وفادار اقتصادی 🟡
12444.0,21,5,5005.46,0,مشتریان وفادار اقتصادی 🟡
12445.0,22,1,133.4,0,مشتریان وفادار اقتصادی 🟡
12446.0,58,1,1002.3100000000001,0,مشتریان وفادار اقتصادی 🟡
12448.0,44,1,449.45,0,مشتریان وفادار اقتصادی 🟡
12449.0,22,4,4067.29,0,مشتریان وفادار اقتصادی 🟡
12451.0,11,5,9035.52,0,مشتریان وفادار اقتصادی 🟡
12452.0,17,2,430.57,0,مشتریان وفادار اقتصادی 🟡
12453.0,134,1,707.09,0,مشتریان وفادار اقتصادی 🟡
12454.0,56,1,3528.34,0,مشتریان وفادار اقتصادی 🟡
12455.0,73,6,2466.86,0,مشتریان وفادار اقتصادی 🟡
12456.0,44,3,3181.04,0,مشتریان وفادار اقتصادی 🟡
12457.0,66,7,2363.23,0,مشتریان وفادار اقتصادی 🟡
12458.0,71,2,947.4,0,مشتریان وفادار اقتصادی 🟡
12461.0,94,2,826.88,0,مشتریان وفادار اقتصادی 🟡
12462.0,19,2,1189.59,0,مشتریان وفادار اقتصادی 🟡
12463.0,53,4,1344.78,0,مشتریان وفادار اقتصادی 🟡
12464.0,10,8,1212.05,0,مشتریان وفادار اقتصادی 🟡
12465.0,17,2,742.1899999999999,0,مشتریان وفادار اقتصادی 🟡
12472.0,32,7,6572.11,0,مشتریان وفادار اقتصادی 🟡
12473.0,29,5,3938.5499999999997,0,مشتریان وفادار اقتصادی 🟡
12475.0,54,1,723.38,0,مشتریان وفادار اقتصادی 🟡
12476.0,16,11,6816.42,0,مشتریان وفادار اقتصادی 🟡
12477.0,23,6,13219.74,0,مشتریان وفادار اقتصادی 🟡
12478.0,4,1,680.99,0,مشتریان وفادار اقتصادی 🟡
12479.0,11,1,527.2,0,مشتریان وفادار اقتصادی 🟡
12480.0,28,4,3281.63,0,مشتریان وفادار اقتصادی 🟡
12481.0,23,10,5596.32,0,مشتریان وفادار اقتصادی 🟡
12483.0,17,8,2484.98,0,مشتریان وفادار اقتصادی 🟡
12484.0,33,6,4541.72,0,مشتریان وفادار اقتصادی 🟡
12488.0,10,3,1298.66,0,مشتریان وفادار اقتصادی 🟡
12490.0,5,10,5417.93,0,مشتریان وفادار اقتصادی 🟡
12491.0,39,1,460.40000000000003,0,مشتریان وفادار اقتصادی 🟡
12492.0,63,2,263.21000000000004,0,مشتریان وفادار اقتصادی 🟡
12494.0,16,7,1246.1000000000001,0,مشتریان وفادار اقتصادی 🟡
12497.0,82,1,1043.1,0,مشتریان وفادار اقتصادی 🟡
12498.0,21,3,403.70000000000005,0,مشتریان وفادار اقتصادی 🟡
12500.0,23,11,4257.82,0,مشتریان وفادار اقتصادی 🟡
12502.0,96,5,3723.87,0,مشتریان وفادار اقتصادی 🟡
12504.0,18,2,482.04999999999995,0,مشتریان وفادار اقتصادی 🟡
12507.0,134,3,1304.81,0,مشتریان وفادار اقتصادی 🟡
12508.0,26,2,398.27,0,مشتریان وفادار اقتصادی 🟡
12510.0,143,2,982.5699999999999,0,مشتریان وفادار اقتصادی 🟡
12512.0,66,2,138.03,0,مشتریان وفادار اقتصادی 🟡
12513.0,113,1,612.29,0,مشتریان وفادار اقتصادی 🟡
12516.0,78,2,1312.06,0,مشتریان وفادار اقتصادی 🟡
12517.0,28,5,2502.84,0,مشتریان وفادار اقتصادی 🟡
12518.0,1,5,2056.89,0,مشتریان وفادار اقتصادی 🟡
12519.0,64,1,340.84,0,مشتریان وفادار اقتصادی 🟡
12520.0,79,5,2634.26,0,مشتریان وفادار اقتصادی 🟡
12522.0,39,2,192.72,0,مشتریان وفادار اقتصادی 🟡
12523.0,19,11,1789.77,0,مشتریان وفادار اقتصادی 🟡
12524.0,9,8,4485.72,0,مشتریان وفادار اقتصادی 🟡
12526.0,1,3,1316.66,0,مشتریان وفادار اقتصادی 🟡
12527.0,82,3,348.71000000000004,0,مشتریان وفادار اقتصادی 🟡
12528.0,9,6,1933.48,0,مشتریان وفادار اقتصادی 🟡
12530.0,60,4,1662.28,0,مشتریان وفادار اقتصادی 🟡
12531.0,15,1,125.22,0,مشتریان وفادار اقتصادی 🟡
12532.0,30,1,349.83000000000004,0,مشتریان وفادار اقتصادی 🟡
12534.0,131,1,1089.18,0,مشتریان وفادار اقتصادی 🟡
12535.0,92,2,716.35,0,مشتریان وفادار اقتصادی 🟡
12536.0,43,3,12601.830000000002,0,مشتریان وفادار اقتصادی 🟡
12538.0,29,1,363.95,0,مشتریان وفادار اقتصادی 🟡
12539.0,22,4,5568.35,0,مشتریان وفادار اقتصادی 🟡
12541.0,30,3,981.18,0,مشتریان وفادار اقتصادی 🟡
12544.0,36,1,372.7,0,مشتریان وفادار اقتصادی 🟡
12545.0,75,2,1000.39,0,مشتریان وفادار اقتصادی 🟡
12546.0,47,2,1161.5,0,مشتریان وفادار اقتصادی 🟡
12550.0,79,1,964.83,0,مشتریان وفادار اقتصادی 🟡
12552.0,39,2,437.82,0,مشتریان وفادار اقتصادی 🟡
12553.0,8,10,3692.28,0,مشتریان وفادار اقتصادی 🟡
12556.0,50,2,603.71,0,مشتریان وفادار اقتصادی 🟡
12557.0,16,5,11990.960000000001,0,مشتریان وفادار اقتصادی 🟡
12558.0,8,1,269.96,0,مشتریان وفادار اقتصادی 🟡
12560.0,5,3,2134.01,0,مشتریان وفادار اقتصادی 🟡
12562.0,8,7,3781.7400000000002,0,مشتریان وفادار اقتصادی 🟡
12566.0,86,1,351.65,0,مشتریان وفادار اقتصادی 🟡
12567.0,23,10,9401.28,0,مشتریان وفادار اقتصادی 🟡
12571.0,40,2,519.61,0,مشتریان وفادار اقتصادی 🟡
12572.0,9,2,1020.42,0,مشتریان وفادار اقتصادی 🟡
12576.0,36,5,1315.83,0,مشتریان وفادار اقتصادی 🟡
12577.0,35,3,657.8,0,مشتریان وفادار اقتصادی 🟡
12578.0,21,2,2794.51,0,مشتریان وفادار اقتصادی 🟡
12579.0,78,1,440.42,0,مشتریان وفادار اقتصادی 🟡
12581.0,40,1,197.71,0,مشتریان وفادار اقتصادی 🟡
12584.0,4,9,2338.15,0,مشتریان وفادار اقتصادی 🟡
12586.0,17,1,196.94000000000003,0,مشتریان وفادار اقتصادی 🟡
12587.0,8,1,144.0,0,مشتریان وفادار اقتصادی 🟡
12588.0,39,1,214.89999999999998,0,مشتریان وفادار اقتصادی 🟡
12589.0,29,2,646.68,0,مشتریان وفادار اقتصادی 🟡
12592.0,92,2,437.6,0,مشتریان وفادار اقتصادی 🟡
12593.0,109,3,418.09999999999997,0,مشتریان وفادار اقتصادی 🟡
12594.0,38,10,3338.2200000000003,0,مشتریان وفادار اقتصادی 🟡
12596.0,51,2,618.27,0,مشتریان وفادار اقتصادی 🟡
12597.0,19,4,3811.22,0,مشتریان وفادار اقتصادی 🟡
12598.0,10,8,3023.08,0,مشتریان وفادار اقتصادی 🟡
12599.0,29,7,1032.58,0,مشتریان وفادار اقتصادی 🟡
12600.0,29,10,2599.04,0,مشتریان وفادار اقتصادی 🟡
12602.0,59,1,153.12,0,مشتریان وفادار اقتصادی 🟡
12603.0,22,1,739.1999999999999,0,مشتریان وفادار اقتصادی 🟡
12604.0,79,2,254.18,0,مشتریان وفادار اقتصادی 🟡
12607.0,60,1,1579.51,0,مشتریان وفادار اقتصادی 🟡
12609.0,78,3,1126.85,0,مشتریان وفادار اقتصادی 🟡
12610.0,23,5,2099.54,0,مشتریان وفادار اقتصادی 🟡
12611.0,52,1,1193.32,0,مشتریان وفادار اقتصادی 🟡
12612.0,74,1,704.0400000000001,0,مشتریان وفادار اقتصادی 🟡
12613.0,57,5,3344.38,0,مشتریان وفادار اقتصادی 🟡
12615.0,2,4,2291.19,0,مشتریان وفادار اقتصادی 🟡
12616.0,95,2,713.3,0,مشتریان وفادار اقتصادی 🟡
12617.0,29,1,355.53,0,مشتریان وفادار اقتصادی 🟡
12618.0,22,1,177.31,0,مشتریان وفادار اقتصادی 🟡
12619.0,16,9,3641.24,0,مشتریان وفادار اقتصادی 🟡
12620.0,15,3,1339.41,0,مشتریان وفادار اقتصادی 🟡
12624.0,106,2,641.13,0,مشتریان وفادار اقتصادی 🟡
12626.0,23,9,6620.48,0,مشتریان وفادار اقتصادی 🟡
12627.0,11,7,4478.53,0,مشتریان وفادار اقتصادی 🟡
12628.0,4,3,786.46,0,مشتریان وفادار اقتصادی 🟡
12630.0,10,2,1270.88,0,مشتریان وفادار اقتصادی 🟡
12631.0,57,1,640.5,0,مشتریان وفادار اقتصادی 🟡
12633.0,59,4,2163.98,0,مشتریان وفادار اقتصادی 🟡
12635.0,90,2,1689.18,0,مشتریان وفادار اقتصادی 🟡
12637.0,67,8,6021.9,0,مشتریان وفادار اقتصادی 🟡
12638.0,33,1,671.69,0,مشتریان وفادار اقتصادی 🟡
12640.0,24,3,1174.58,0,مشتریان وفادار اقتصادی 🟡
12641.0,115,1,185.9,0,مشتریان وفادار اقتصادی 🟡
12642.0,25,3,1013.26,0,مشتریان وفادار اقتصادی 🟡
12643.0,128,6,3344.64,0,مشتریان وفادار اقتصادی 🟡
12644.0,130,1,477.91,0,مشتریان وفادار اقتصادی 🟡
12645.0,34,4,1775.18,0,مشتریان وفادار اقتصادی 🟡
12646.0,5,2,1346.97,0,مشتریان وفادار اقتصادی 🟡
